"scenario","Rt","Vaccine","infections_med","infections_baseline_med","infections_averted_med","infections_025","infections_baseline_025","infections_averted_025","infections_25","infections_baseline_25","infections_averted_25","infections_75","infections_baseline_75","infections_averted_75","infections_975","infections_baseline_975","infections_averted_975"
1,"History Based","100-Day Mission",2096075760,3910195515,1767783822,1687159270,3337993870,1466144625,1944163089,3632572076,1602265978,2519066603,4274810489,1897289785,3128820108,4909122845,2128145521
2,"Target Based","100-Day Mission",3415513471,3910195515,507258167,2724114490,3337993870,247643266,3189468490,3632572076,410748217,3796731506,4274810489,590328054,4483167048,4909122845,647511893
3,"Economic Based","100-Day Mission",2885237510,3910195515,1041632071,2332995040,3337993870,783806328,2656123516,3632572076,923807920,3271628406,4274810489,1118772119,3790476881,4909122845,1281062107
4,"History Based","100-Day Mission & Manufacturing",1576716390,3910195515,2279740837,1270621184,3337993870,1830856198,1451650320,3632572076,2122370289,1777078075,4274810489,2513839632,2686495309,4909122845,2844219279
5,"Target Based","100-Day Mission & Manufacturing",2814133536,3910195515,1030433659,2266519223,3337993870,315300747,2610706316,3632572076,905739607,3235578473,4274810489,1156984445,4304119871,4909122845,1375651805
6,"Economic Based","100-Day Mission & Manufacturing",2402413935,3910195515,1421827821,1991929326,3337993870,1069211985,2228848733,3632572076,1288098972,2824533348,4274810489,1581600184,3359880863,4909122845,1839896873
7,"History Based","100-Day Mission & Infrastructure",1606740021,3910195515,2248733370,1312989865,3337993870,1846902542,1492431485,3632572076,2099537950,1803884596,4274810489,2442430494,2811978220,4909122845,2871911955
8,"Target Based","100-Day Mission & Infrastructure",2783077124,3910195515,1080445774,2229236356,3337993870,755510383,2597207398,3632572076,986394798,3178788271,4274810489,1202516012,4034945268,4909122845,1413015609
9,"Economic Based","100-Day Mission & Infrastructure",2360242647,3910195515,1499493738,1929765960,3337993870,1160283231,2219173111,3632572076,1330546897,2821193740,4274810489,1606905595,3342023960,4909122845,1842567183
10,"History Based","100-Day Mission Total (Manu. & Infr.)",1272452624,3910195515,2575697496,1014362661,3337993870,2141400179,1182239006,3632572076,2405264035,1405556217,4274810489,2844528169,2336618512,4909122845,3309674861
11,"Target Based","100-Day Mission Total (Manu. & Infr.)",2388075196,3910195515,1461700212,1898681789,3337993870,1011066153,2193438082,3632572076,1333168194,2829348022,4274810489,1580603164,3610770938,4909122845,1880475344
12,"Economic Based","100-Day Mission Total (Manu. & Infr.)",1985154586,3910195515,1862522397,1562307070,3337993870,1456443250,1844508130,3632572076,1667490136,2274457112,4274810489,2013062287,3045296153,4909122845,2385350930
