"scenario","Rt","Vaccine","life_years_saved_med","life_years_saved_undiscounted_med","productive_life_years_saved_med","productive_life_years_saved_undiscounted_med","economic_productive_loss_med","economic_productive_loss_undiscounted_med","economic_lives_saved_med","economic_life_years_saved_med","economic_life_years_saved_undiscounted_med","life_years_saved_025","life_years_saved_undiscounted_025","productive_life_years_saved_025","productive_life_years_saved_undiscounted_025","economic_productive_loss_025","economic_productive_loss_undiscounted_025","economic_lives_saved_025","economic_life_years_saved_025","economic_life_years_saved_undiscounted_025","life_years_saved_25","life_years_saved_undiscounted_25","productive_life_years_saved_25","productive_life_years_saved_undiscounted_25","economic_productive_loss_25","economic_productive_loss_undiscounted_25","economic_lives_saved_25","economic_life_years_saved_25","economic_life_years_saved_undiscounted_25","life_years_saved_75","life_years_saved_undiscounted_75","productive_life_years_saved_75","productive_life_years_saved_undiscounted_75","economic_productive_loss_75","economic_productive_loss_undiscounted_75","economic_lives_saved_75","economic_life_years_saved_75","economic_life_years_saved_undiscounted_75","life_years_saved_975","life_years_saved_undiscounted_975","productive_life_years_saved_975","productive_life_years_saved_undiscounted_975","economic_productive_loss_975","economic_productive_loss_undiscounted_975","economic_lives_saved_975","economic_life_years_saved_975","economic_life_years_saved_undiscounted_975"
1,"History Based","100-Day Mission",146542218,220682621,99384041,158217234,1603088239079,2590402216891,26314723914833,16829018005395,12719448856616,116822266,174378566,78282895,124334112,1296245980150,2079755167351,22786367074215,14200672296068,10562738299380,125211673,188708968,87634277,139239692,1444587814339,2334057569212,24416590554104,15277707205148,11481222058175,154213484,234164411,107839644,171928573,1800828418004,2926773235056,28115044805194,18422319129011,14262783492411,162447971,249934788,118031578,189662265,2029402093245,3325879561645,30177747430764,20182019789590,15859754220323
2,"Target Based","100-Day Mission",75901087,111429384,53413921,83861466,999619855543,1597958815125,17683599514595,10982144454592,8162157944867,49922408,67997474,32107184,48648646,646880593038,1031940244428,12910688128374,7709857282363,5609989473562,66567298,95656965,45195509,70292898,835727789039,1343026836982,15596983165074,9334214700005,6951571703069,85735802,126288504,60367323,95416133,1223291014300,1979361013119,20004893631625,13385821677076,10337728583858,98600877,148670894,71985934,114869004,1502673705730,2454909075570,22992117040679,15528270920513,12102934803735
3,"Economic Based","100-Day Mission",111731264,167347050,78514707,123787756,1246475895461,2005521130762,18902046866344,12169141011043,9226961128105,88725146,130945572,60623691,95221110,953077252195,1519388664200,15763635958910,9724584367670,7191010085142,97052776,144205114,69246782,109035121,1107902666451,1772680336364,17468120847602,10989215525992,8229550758357,124197036,188403760,89956247,142955043,1351175745488,2182439797254,20046545684945,13149839077360,10086531324945,134208463,204012282,99680995,159326346,1558400278425,2530668146660,21874608371403,14765063515193,11470411324824
4,"History Based","100-Day Mission & Manufacturing",174537428,261397218,116883998,185863724,1834459614826,2984212218381,31029474157577,19476264963370,14955608452898,124620328,189063964,87652866,139830474,1461231395178,2352408240626,26486590248154,16478905633100,12344888558662,166193721,246651572,108635036,171320533,1707336486041,2751345555234,29185834999491,18628967120083,13949835401072,179528048,271774459,124772903,199114022,1980241645993,3227452354676,31963334407228,20542636906996,15865639224423,187052505,286496424,133700144,214341177,2243625043437,3654535436865,33783897137093,22354774326089,17395208511035
5,"Target Based","100-Day Mission & Manufacturing",126570087,185333251,83287600,131257943,1409063489572,2266024903840,24983344428844,15537603618296,11716909555574,75628738,110102457,53958933,85371655,1088243355024,1734772579303,21117898008898,12771245739299,9420764654496,104050297,151926735,70771341,111611439,1322174850600,2127190546680,23416834033740,14729456625503,11081243505577,135138677,200702180,92097028,145429726,1573571626640,2540110774395,26161753867805,16782617222010,12798392803746,142950709,215572450,102494091,163371636,1806766187222,2938458328030,28496951702742,18586158862594,14409466713452
6,"Economic Based","100-Day Mission & Manufacturing",145310468,214502280,95062535,150132758,1613538072344,2610614391079,26914303605405,17062819130763,12919583064715,114191429,170989764,80064687,126293826,1332802432535,2130403083399,24169817645641,14930777746169,11141174196313,125846705,187462490,86683935,137590747,1517047762004,2442781815259,25881763685699,16373456278230,12106295813952,154171612,231523846,107166746,170571179,1753416269173,2848999547657,27947214568726,18190021747303,13809696336203,162939286,246833525,116489107,186623399,1964277869667,3203158782886,29734305577625,19720739003106,15246022652059
7,"History Based","100-Day Mission & Infrastructure",169450763,254800754,116590536,184671717,1872524878202,3035055141743,30879237153248,19801357556727,15094627208913,127132393,192343585,89317676,142234055,1491103907520,2402394046720,26305830993484,16389424925239,12240349298351,162051620,240996172,106682692,168176135,1685682198879,2707561333907,28715625453564,18066783465683,13486756584049,175788813,266082830,122431523,195276249,2015930282367,3279486182825,31847561554367,20782912973493,16025872934524,184827064,283501453,133812431,214812510,2289562162854,3729957470167,33590383014538,22894998688010,17959969330296
8,"Target Based","100-Day Mission & Infrastructure",124008115,184022127,85746418,134322041,1458491298203,2355608334179,23738022461004,15464220365594,11708899498172,93839516,137888663,66130261,104010742,1121572343327,1785205583805,21004598163676,12855177624655,9429550142960,111248282,165448927,75602805,119285374,1307706887117,2096671067255,22758671710913,14200137199981,10612886997158,132996362,198251623,92952654,147810719,1592791641654,2573880045805,25447265431314,16416587578641,12461506209073,148968669,226832938,108198346,172855726,1897406996312,3091349552351,27501906071320,18706434248970,14612020909957
9,"Economic Based","100-Day Mission & Infrastructure",145978743,219071776,100804626,158722921,1642415873984,2663227229397,26219155787562,16905505009784,12891641534576,113001085,166236777,75872319,119985569,1335364295279,2138993775474,23348802730106,14474546149057,10789594500480,126266265,188749176,87733099,139053094,1510518067577,2416326334011,25139895691497,15711830494399,11792290370855,153042088,230951087,108629127,172710106,1782247254060,2896384688508,27904086167038,18158906971033,13826703393337,163464721,250154793,119285568,190861927,2071538481410,3392771836830,29125418720354,19842860737340,15603882066364
10,"History Based","100-Day Mission Total (Manu. & Infr.)",188497888,282664473,127707870,203307235,2003141136227,3224605005161,33327424393046,21179367525917,16111965452247,138543763,209139159,96862341,154580319,1667050773109,2682450933719,29697834098190,18467860786943,13839140376880,180179669,267141237,117584540,185490288,1872170981198,3011980681446,32092190429501,20183452193749,15098236931566,192956846,291723420,134201333,214172372,2134954862127,3461925925473,34142186030968,22002305360686,16850014679934,200496987,306653242,143319539,229570781,2402113233292,3926496449802,35694200365275,23831867903747,18697487601489
11,"Target Based","100-Day Mission Total (Manu. & Infr.)",152444295,224528738,101181385,159681478,1655308008509,2664724509505,27528112012009,17359195330156,13081401473686,115719901,174623299,83335099,131452267,1325812292924,2120928253308,24215860314919,14827175174731,10995171041587,135857369,202006988,94017512,148333192,1545197897422,2486713726957,26272924183391,16564163113504,12363340030192,162876659,243863256,113712520,180382247,1790153398037,2894284629045,28783950477107,18548894197714,14099443489436,173276709,261665991,124824251,199183631,2089435350834,3415876524308,30723852901918,20562324897622,16131963191416
12,"Economic Based","100-Day Mission Total (Manu. & Infr.)",168420248,249032102,111859405,176424487,1785924821224,2893066154505,29598669823691,18570990120054,14192634189038,128160169,190488789,90044577,142978981,1466720678441,2344199946918,26219364482097,16133867026176,12048256766424,143362972,212518649,98627340,156700649,1689029137484,2714499783507,28158889221844,17910949148278,13465788759836,176201858,265580115,124272157,197915649,1942864265935,3141597274738,30227310565316,19926353007190,15214796040543,184233674,280232751,132852512,212460854,2197220609295,3584845700044,32375487345336,21570698308372,16723055891946
