"","iso3c","choice"
"1","ABW",782.129232783097
"210","AFG",7.07544018589222
"310","AGO",105.525031761834
"41","ALB",169.160977659933
"52","ARE",837.28280990958
"610","ARG",409.565196842573
"71","ARM",113.498788443681
"810","ATG",355.131703798931
"94","AUS",1157.86451417727
"105","AUT",1186.6773817923
"1110","AZE",169.780618964971
"1210","BDI",6.91106335185006
"138","BEL",1103.04847510914
"1410","BEN",21.3392049437874
"151","BFA",17.6098490077725
"161","BGD",28.9378179879391
"178","BGR",339.612639684523
"181","BHR",399.643876681741
"191","BHS",796.91653843172
"20","BIH",176.770592303269
"21","BLR",299.959528990645
"22","BLZ",117.838168226753
"23","BOL",94.1051952216663
"24","BRA",41.6228029065256
"25","BRB",450.936520454265
"26","BRN",1042.79909419587
"27","BTN",110.113385863615
"28","BWA",285.162589155098
"29","CAF",11.0370206621125
"30","CAN",1028.5422352751
"31","CHE",1415.13684755362
"32","CHL",448.131006517225
"33","CIV",26.4495363815901
"34","CMR",33.2498050755439
"35","COD",4.87531902158241
"36","COG",61.2309797447338
"37","COL",192.530329764828
"38","COM",17.9261520713254
"39","CPV",64.5850298271683
"40","CRI",272.989511294733
"2","CUB",201.508936054607
"3","CUW",782.129232783097
"43","CYP",746.839388749766
"44","CZE",669.644843133275
"45","DEU",1061.97087789686
"4","DJI",43.5761983810759
"47","DNK",1155.41892437466
"48","DOM",183.391400514899
"49","DZA",116.226994450916
"50","ECU",175.919334106587
"51","EGY",110.654680621115
"5","ERI",13.617428651832
"53","ESP",816.926743176856
"54","EST",512.208623541624
"55","ETH",13.946730941212
"56","FIN",1004.20333378928
"57","FJI",95.4851058151247
"58","FRA",961.048336878856
"59","FSM",58.3321668473461
"60","GAB",266.346184873197
"61","GBR",950.298841472701
"62","GEO",104.43772422762
"63","GHA",27.2222249258437
"64","GIN",13.0604526820762
"65","GMB",24.8688415348785
"66","GNB",18.0895132272627
"67","GNQ",659.667883356242
"68","GRC",701.461964369429
"69","GRD",233.721071290808
"70","GTM",82.9438252317972
"6","GUM",782.129232783097
"72","GUY",44.7094775735178
"7","HKG",782.129232783097
"74","HND",73.5054497162717
"75","HRV",463.871473866447
"76","HTI",14.3802892504599
"77","HUN",477.056042309503
"78","IDN",64.1792866985854
"79","IND",50.9370103021774
"80","IRL",1137.12739582451
"81","IRN",260.767311467183
"82","IRQ",37.7983395994963
"83","ISL",965.065392274484
"84","ISR",655.389202567259
"85","ITA",889.25020051071
"86","JAM",150.510924367481
"87","JOR",109.993609251656
"88","JPN",772.321775407626
"89","KAZ",252.015617317281
"90","KEN",29.4014064519023
"91","KGZ",41.8967642094447
"92","KHM",32.2981914724078
"93","KOR",659.742807089303
"8","KWT",782.129232783097
"95","LAO",43.5826448778996
"96","LBN",338.360561742464
"97","LBR",8.09620764666625
"98","LBY",360.169005992486
"99","LCA",232.187986403342
"100","LKA",89.4927266309213
"101","LSO",25.082751765136
"102","LTU",444.885908557551
"103","LUX",3048.124277978
"104","LVA",404.74312258692
"9","MAC",782.129232783097
"106","MAR",69.6873829812822
"107","MDA",61.1743759278341
"108","MDG",10.7726096824273
"109","MDV",181.019374221229
"110","MEX",339.629554353404
"111","MKD",246.26945191976
"112","MLI",17.0406267449758
"113","MLT",682.028388444058
"114","MMR",13.2653073216996
"115","MNE",319.933538286246
"116","MOZ",10.8607595320417
"117","MRT",33.3626906287273
"118","MUS",314.078426855465
"119","MWI",13.0179360685621
"120","MYS",299.07744427001
"121","NAM",119.683012877505
"122","NER",6.42631239033651
"123","NGA",33.6841847316032
"124","NIC",62.0605136814434
"125","NLD",1166.54341130699
"126","NOR",1724.46885130373
"127","NPL",20.4088078790139
"128","NZL",791.936690158567
"129","OMN",346.003725965126
"130","PAK",42.0478498702861
"131","PAN",367.654260231113
"132","PER",174.064093419401
"133","PHL",62.5473569448375
"134","PNG",39.5914475325567
"135","POL",465.330608397229
"136","PRT",635.72400759774
"137","PRY",100.00483667596
"10","PSE",43.5761983810759
"11","PYF",782.129232783097
"140","QAT",1510.74533536835
"141","ROU",361.686872718138
"142","RUS",535.023674168803
"143","RWA",15.6416260656247
"144","SAU",425.297437438958
"145","SDN",41.8427097898061
"146","SEN",25.4689098539558
"147","SGP",1518.46098131462
"148","SLB",43.5761983810759
"149","SLE",16.2080077118191
"150","SLV",131.626153178375
"12","SOM",13.617428651832
"152","SRB",227.997905968254
"13","SSD",13.617428651832
"154","STP",28.1009954797806
"155","SUR",188.925729191989
"156","SVK",479.189046938057
"157","SVN",695.119426871896
"158","SWE",1065.28085767646
"159","SWZ",80.0891023859126
"160","SYC",535.171428206484
"14","SYR",13.617428651832
"162","TCD",16.7771052164654
"163","TGO",15.5572236192039
"164","THA",170.355940236798
"165","TJK",26.2891492426681
"15","TKM",201.508936054607
"167","TLS",28.5715635777766
"168","TTO",535.569361059407
"169","TUN",167.213343179586
"170","TUR",314.274020671707
"16","TWN",782.129232783097
"171","TZA",16.4704310100453
"172","UGA",13.617428651832
"173","UKR",158.702758642152
"174","URY",307.437410679363
"175","USA",1274.48358681908
"176","UZB",41.1016859317095
"177","VCT",206.984905768568
"17","VEN",201.508936054607
"179","VNM",52.6600208582745
"180","VUT",76.8325354423158
"18","YEM",13.617428651832
"182","ZAF",196.032966340647
"183","ZMB",18.7819216676293
"19","ZWE",43.5761983810759
